trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,n_cases_hq_cohort_both_sexes,n_cases_hq_cohort_females,n_cases_hq_cohort_males,pops,num_pops,pops_pass_qc,num_pops_pass_qc,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,rhemc_25bin_50rv_h2_observed_AFR,rhemc_25bin_50rv_h2_observed_AMR,rhemc_25bin_50rv_h2_observed_CSA,rhemc_25bin_50rv_h2_observed_EAS,sldsc_25bin_h2_observed_EUR,rhemc_25bin_50rv_h2_observed_MID,rhemc_25bin_50rv_h2_observed_se_AFR,rhemc_25bin_50rv_h2_observed_se_AMR,rhemc_25bin_50rv_h2_observed_se_CSA,rhemc_25bin_50rv_h2_observed_se_EAS,sldsc_25bin_h2_observed_se_EUR,rhemc_25bin_50rv_h2_observed_se_MID,rhemc_25bin_50rv_h2_liability_AFR,rhemc_25bin_50rv_h2_liability_AMR,rhemc_25bin_50rv_h2_liability_CSA,rhemc_25bin_50rv_h2_liability_EAS,sldsc_25bin_h2_liability_EUR,rhemc_25bin_50rv_h2_liability_MID,rhemc_25bin_50rv_h2_liability_se_AFR,rhemc_25bin_50rv_h2_liability_se_AMR,rhemc_25bin_50rv_h2_liability_se_CSA,rhemc_25bin_50rv_h2_liability_se_EAS,sldsc_25bin_h2_liability_se_EUR,rhemc_25bin_50rv_h2_liability_se_MID,rhemc_25bin_50rv_h2_z_AFR,rhemc_25bin_50rv_h2_z_AMR,rhemc_25bin_50rv_h2_z_CSA,rhemc_25bin_50rv_h2_z_EAS,sldsc_25bin_h2_z_EUR,rhemc_25bin_50rv_h2_z_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,phenotype_qc_AFR,phenotype_qc_AMR,phenotype_qc_CSA,phenotype_qc_EAS,phenotype_qc_EUR,phenotype_qc_MID,in_max_independent_set,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,md5_hex,size_in_bytes,md5_hex_tabix,size_in_bytes_tabix,trait_efos,trait_efo_terms,trait_efo_categories
icd10,I49,both_sexes,,,I49 Other cardiac arrhythmias,truncated: true,NA,Chapter IX Diseases of the circulatory system | I30-I52 Other forms of heart disease | I49 Other cardiac arrhythmias,3596,1476,2119,NA,NA,NA,"CSA,EUR",2,,0,NA,NA,66,NA,3530,NA,NA,NA,8810,NA,417001,NA,NA,NA,2.43E-02,NA,4.00E-03,NA,NA,NA,3.88E-02,NA,2.40E-03,NA,NA,NA,4.25E-01,NA,6.37E-02,NA,NA,NA,6.78E-01,NA,3.82E-02,NA,NA,NA,6.27E-01,NA,1.67E+00,NA,NA,NA,1.01E+00,NA,1.03E+00,NA,NA,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-I49-both_sexes.tsv.bgz,icd10-I49-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I49-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I49-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I49-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I49-both_sexes.tsv.bgz.tbi,e529339036e4df41d51fb97f4e320cb1,1101497119,e2d5d00d51782c209c9daf7fd3df86ae,1928232,EFO_0004269,cardiac arrhythmia,Cardiovascular disease
icd10,I50,both_sexes,,,I50 Heart failure,truncated: true,NA,Chapter IX Diseases of the circulatory system | I30-I52 Other forms of heart disease | I50 Heart failure,7800,2424,5376,NA,NA,NA,"AFR,CSA,EUR",3,,0,107,NA,245,NA,7448,NA,6529,NA,8631,NA,413083,NA,-1.81E-01,NA,1.26E-01,NA,4.20E-03,NA,8.21E-02,NA,4.36E-02,NA,2.10E-03,NA,-1.77E+00,NA,8.38E-01,NA,3.83E-02,NA,8.02E-01,NA,2.90E-01,NA,1.92E-02,NA,-2.21E+00,NA,2.89E+00,NA,2.00E+00,NA,1.02E+00,NA,1.01E+00,NA,1.07E+00,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-I50-both_sexes.tsv.bgz,icd10-I50-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I50-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I50-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I50-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I50-both_sexes.tsv.bgz.tbi,8c7bf058e5cf437c658a8ba953ba0179,1623416560,603b181224fc2f59c0ebb7c72658b499,2052124,EFO_0003144,heart failure,Cardiovascular disease
icd10,I51,both_sexes,,,I51 Complications and ill-defined descriptions of heart disease,truncated: true,NA,Chapter IX Diseases of the circulatory system | I30-I52 Other forms of heart disease | I51 Complications and ill-defined descriptions of heart disease,6387,2087,4300,NA,NA,NA,"AFR,CSA,EUR",3,,0,121,NA,151,NA,6115,NA,6515,NA,8725,NA,414416,NA,-1.29E-01,NA,1.42E-01,NA,1.70E-03,NA,7.45E-02,NA,3.68E-02,NA,2.20E-03,NA,-1.15E+00,NA,1.33E+00,NA,1.79E-02,NA,6.66E-01,NA,3.45E-01,NA,2.32E-02,NA,-1.73E+00,NA,3.86E+00,NA,7.73E-01,NA,1.01E+00,NA,1.04E+00,NA,1.03E+00,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-I51-both_sexes.tsv.bgz,icd10-I51-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I51-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I51-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I51-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I51-both_sexes.tsv.bgz.tbi,cca222f42f246abbfdef143b906022e7,1615573290,06bd1f2e04f3483240ee7e60292ad10d,2051445,EFO_0003777,heart disease,Cardiovascular disease
icd10,I60,both_sexes,,,I60 Subarachnoid haemorrhage,truncated: true,NA,Chapter IX Diseases of the circulatory system | I60-I69 Cerebrovascular diseases | I60 Subarachnoid haemorrhage,985,615,370,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,985,NA,NA,NA,NA,NA,419546,NA,NA,NA,NA,NA,2.00E-04,NA,NA,NA,NA,NA,2.30E-03,NA,NA,NA,NA,NA,8.73E-03,NA,NA,NA,NA,NA,1.00E-01,NA,NA,NA,NA,NA,8.70E-02,NA,NA,NA,NA,NA,1.01E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I60-both_sexes.tsv.bgz,icd10-I60-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I60-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I60-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I60-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I60-both_sexes.tsv.bgz.tbi,5aae14fd20f60941be5484d9bac1fefa,538098507,1c87e55008f8e0b18db12a4bda764747,1751095,EFO_0000713,subarachnoid hemorrhage,Cardiovascular disease
icd10,I61,both_sexes,,,I61 Intracerebral haemorrhage,truncated: true,NA,Chapter IX Diseases of the circulatory system | I60-I69 Cerebrovascular diseases | I61 Intracerebral haemorrhage,1025,425,600,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,1025,NA,NA,NA,NA,NA,419506,NA,NA,NA,NA,NA,1.90E-03,NA,NA,NA,NA,NA,2.30E-03,NA,NA,NA,NA,NA,8.03E-02,NA,NA,NA,NA,NA,9.72E-02,NA,NA,NA,NA,NA,8.26E-01,NA,NA,NA,NA,NA,1.03E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I61-both_sexes.tsv.bgz,icd10-I61-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I61-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I61-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I61-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I61-both_sexes.tsv.bgz.tbi,41556fc153b8cd049183b53dd6ee1e0e,538572237,4dd32b5352c18e7ec6adcf8a978e8363,1750725,EFO_0005669,intracerebral hemorrhage,Cardiovascular disease
icd10,I62,both_sexes,,,I62 Other nontraumatic intracranial haemorrhage,truncated: true,NA,Chapter IX Diseases of the circulatory system | I60-I69 Cerebrovascular diseases | I62 Other nontraumatic intracranial haemorrhage,534,174,360,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,534,NA,NA,NA,NA,NA,419997,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,2.10E-03,NA,NA,NA,NA,NA,7.22E-02,NA,NA,NA,NA,NA,1.52E-01,NA,NA,NA,NA,NA,4.76E-01,NA,NA,NA,NA,NA,1.01E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I62-both_sexes.tsv.bgz,icd10-I62-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I62-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I62-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I62-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I62-both_sexes.tsv.bgz.tbi,e8b8b8e7f2578b9d6cfe618faad2b896,532654749,bfdc135c05f69002160a1ece56999e83,1750739,EFO_0000551,intracranial hemorrhage,Cardiovascular disease
icd10,I63,both_sexes,,,I63 Cerebral infarction,truncated: true,NA,Chapter IX Diseases of the circulatory system | I60-I69 Cerebrovascular diseases | I63 Cerebral infarction,4437,1622,2815,NA,NA,NA,"AFR,CSA,EUR",3,,0,82,NA,80,NA,4275,NA,6554,NA,8796,NA,416256,NA,7.09E-02,NA,9.08E-02,NA,1.50E-03,NA,7.19E-02,NA,4.37E-02,NA,2.10E-03,NA,8.43E-01,NA,1.37E+00,NA,2.06E-02,NA,8.55E-01,NA,6.59E-01,NA,2.89E-02,NA,9.86E-01,NA,2.08E+00,NA,7.14E-01,NA,1.01E+00,NA,1.01E+00,NA,1.05E+00,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-I63-both_sexes.tsv.bgz,icd10-I63-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I63-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I63-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I63-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I63-both_sexes.tsv.bgz.tbi,9bdfc614dba7e59b4a1efeadfbd3c212,1583211975,13bc105453c093d378c5ed47b0998f6f,2046588,EFO_0004277,brain infarction,Cardiovascular disease
icd10,I65,both_sexes,,,"I65 Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",truncated: true,NA,"Chapter IX Diseases of the circulatory system | I60-I69 Cerebrovascular diseases | I65 Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",1274,398,876,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,1274,NA,NA,NA,NA,NA,419257,NA,NA,NA,NA,NA,3.10E-03,NA,NA,NA,NA,NA,2.20E-03,NA,NA,NA,NA,NA,1.10E-01,NA,NA,NA,NA,NA,7.80E-02,NA,NA,NA,NA,NA,1.41E+00,NA,NA,NA,NA,NA,1.04E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I65-both_sexes.tsv.bgz,icd10-I65-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I65-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I65-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I65-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I65-both_sexes.tsv.bgz.tbi,11352b60c1819e2ce13ba04d6b9560bb,539818923,a4b121e56978de695ed79c0095bd8d7c,1751012,EFO_0009677,occlusion precerebral artery,Cardiovascular disease
icd10,I66,both_sexes,,,"I66 Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",truncated: true,NA,"Chapter IX Diseases of the circulatory system | I60-I69 Cerebrovascular diseases | I66 Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",104,39,65,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,420427,NA,NA,NA,NA,NA,-4.00E-03,NA,NA,NA,NA,NA,2.20E-03,NA,NA,NA,NA,NA,-1.16E+00,NA,NA,NA,NA,NA,6.37E-01,NA,NA,NA,NA,NA,-1.82E+00,NA,NA,NA,NA,NA,9.67E-01,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I66-both_sexes.tsv.bgz,icd10-I66-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I66-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I66-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I66-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I66-both_sexes.tsv.bgz.tbi,1f2b31ffb0a58192c00dbb01f4607d73,510850734,ab3b384a0fffff4dd751fe27cfd2d6de,1749776,EFO_0003763,cerebrovascular disorder,Cardiovascular disease
icd10,I67,both_sexes,,,I67 Other cerebrovascular diseases,truncated: true,NA,Chapter IX Diseases of the circulatory system | I60-I69 Cerebrovascular diseases | I67 Other cerebrovascular diseases,3646,1613,2033,NA,NA,NA,"AFR,CSA,EUR",3,,0,96,NA,82,NA,3468,NA,6540,NA,8794,NA,417063,NA,1.36E-01,NA,1.34E-01,NA,2.10E-03,NA,9.94E-02,NA,3.73E-02,NA,2.10E-03,NA,1.44E+00,NA,1.98E+00,NA,3.39E-02,NA,1.05E+00,NA,5.51E-01,NA,3.39E-02,NA,1.37E+00,NA,3.59E+00,NA,1.00E+00,NA,9.88E-01,NA,1.00E+00,NA,1.03E+00,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-I67-both_sexes.tsv.bgz,icd10-I67-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I67-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I67-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I67-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I67-both_sexes.tsv.bgz.tbi,3c4f335a2e5ff4dfc687413f80a22c3f,1583358307,0dbea94a5741048c6efbea65d5d6dd28,2046782,EFO_0003763,cerebrovascular disorder,Cardiovascular disease
icd10,I69,both_sexes,,,I69 Sequelae of cerebrovascular disease,truncated: true,NA,Chapter IX Diseases of the circulatory system | I60-I69 Cerebrovascular diseases | I69 Sequelae of cerebrovascular disease,1685,689,996,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,1685,NA,NA,NA,NA,NA,418846,NA,NA,NA,NA,NA,-6.97E-05,NA,NA,NA,NA,NA,2.20E-03,NA,NA,NA,NA,NA,-1.98E-03,NA,NA,NA,NA,NA,6.24E-02,NA,NA,NA,NA,NA,-3.17E-02,NA,NA,NA,NA,NA,1.03E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I69-both_sexes.tsv.bgz,icd10-I69-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I69-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I69-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I69-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I69-both_sexes.tsv.bgz.tbi,ccff066faa6bc2cabab7022429b1a63a,542272748,0e3bb45f38cff8aabf7cf9b2a1b8cd51,1751013,EFO_0003763,cerebrovascular disorder,Cardiovascular disease
icd10,I70,both_sexes,,,I70 Atherosclerosis,truncated: true,NA,"Chapter IX Diseases of the circulatory system | I70-I79 Diseases of arteries, arterioles and capillaries | I70 Atherosclerosis",933,255,678,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,933,NA,NA,NA,NA,NA,419598,NA,NA,NA,NA,NA,-3.49E-05,NA,NA,NA,NA,NA,2.10E-03,NA,NA,NA,NA,NA,-1.59E-03,NA,NA,NA,NA,NA,9.58E-02,NA,NA,NA,NA,NA,-1.66E-02,NA,NA,NA,NA,NA,1.00E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I70-both_sexes.tsv.bgz,icd10-I70-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I70-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I70-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I70-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I70-both_sexes.tsv.bgz.tbi,7e7266cbb62497aa45455e5665d5f2a0,537730259,f691bfed3972c75daed3daeef1b9a00c,1751032,EFO_0003914,atherosclerosis,Cardiovascular disease
icd10,I71,both_sexes,,,I71 Aortic aneurysm and dissection,truncated: true,NA,"Chapter IX Diseases of the circulatory system | I70-I79 Diseases of arteries, arterioles and capillaries | I71 Aortic aneurysm and dissection",2031,381,1650,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,2031,NA,NA,NA,NA,NA,418500,NA,NA,NA,NA,NA,9.00E-04,NA,NA,NA,NA,NA,2.20E-03,NA,NA,NA,NA,NA,2.20E-02,NA,NA,NA,NA,NA,5.38E-02,NA,NA,NA,NA,NA,4.09E-01,NA,NA,NA,NA,NA,1.05E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I71-both_sexes.tsv.bgz,icd10-I71-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I71-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I71-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I71-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I71-both_sexes.tsv.bgz.tbi,6fd1fdb300ec69e820e2a26e0510f4ac,543333680,c68c484896671c36f27a8172a7029a56,1750895,EFO_0001666,aortic aneurysm,Cardiovascular disease
icd10,I72,both_sexes,,,I72 Other aneurysm,truncated: true,NA,"Chapter IX Diseases of the circulatory system | I70-I79 Diseases of arteries, arterioles and capillaries | I72 Other aneurysm",638,226,412,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,638,NA,NA,NA,NA,NA,419893,NA,NA,NA,NA,NA,1.80E-03,NA,NA,NA,NA,NA,2.00E-03,NA,NA,NA,NA,NA,1.12E-01,NA,NA,NA,NA,NA,1.25E-01,NA,NA,NA,NA,NA,9.00E-01,NA,NA,NA,NA,NA,9.94E-01,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I72-both_sexes.tsv.bgz,icd10-I72-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I72-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I72-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I72-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I72-both_sexes.tsv.bgz.tbi,a60398eecb144a9f17dfa8309785c065,534514683,fc04d293da6e217ee492b9fe6ecf3d53,1750938,EFO_0009659,NA,NA
icd10,I73,both_sexes,,,I73 Other peripheral vascular diseases,truncated: true,NA,"Chapter IX Diseases of the circulatory system | I70-I79 Diseases of arteries, arterioles and capillaries | I73 Other peripheral vascular diseases",4930,2071,2859,NA,NA,NA,"AFR,CSA,EUR",3,,0,61,NA,91,NA,4778,NA,6575,NA,8785,NA,415753,NA,7.16E-02,NA,1.14E-01,NA,8.50E-03,NA,1.01E-01,NA,3.93E-02,NA,2.60E-03,NA,1.06E+00,NA,1.56E+00,NA,1.08E-01,NA,1.49E+00,NA,5.38E-01,NA,3.29E-02,NA,7.12E-01,NA,2.90E+00,NA,3.27E+00,NA,9.97E-01,NA,1.02E+00,NA,1.01E+00,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-I73-both_sexes.tsv.bgz,icd10-I73-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I73-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I73-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I73-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I73-both_sexes.tsv.bgz.tbi,de0ad59f627fc8054707d2a2dd089a35,1575097513,573d4985dffd6e8f4b378806751c6c24,2044567,EFO_0003875,peripheral vascular disease,Cardiovascular disease
icd10,I74,both_sexes,,,I74 Arterial embolism and thrombosis,truncated: true,NA,"Chapter IX Diseases of the circulatory system | I70-I79 Diseases of arteries, arterioles and capillaries | I74 Arterial embolism and thrombosis",1114,330,784,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,1114,NA,NA,NA,NA,NA,419417,NA,NA,NA,NA,NA,2.50E-03,NA,NA,NA,NA,NA,2.00E-03,NA,NA,NA,NA,NA,9.88E-02,NA,NA,NA,NA,NA,7.90E-02,NA,NA,NA,NA,NA,1.25E+00,NA,NA,NA,NA,NA,1.02E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I74-both_sexes.tsv.bgz,icd10-I74-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I74-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I74-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I74-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I74-both_sexes.tsv.bgz.tbi,6e179f2eadd9df8d9be85ad631e17c26,538916928,3e3cc72f5dcc62d691a9a45c88e9267e,1750964,EFO_0004286,venous thromboembolism,Cardiovascular disease
icd10,I77,both_sexes,,,I77 Other disorders of arteries and arterioles,truncated: true,NA,"Chapter IX Diseases of the circulatory system | I70-I79 Diseases of arteries, arterioles and capillaries | I77 Other disorders of arteries and arterioles",1784,603,1181,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,1784,NA,NA,NA,NA,NA,418747,NA,NA,NA,NA,NA,2.50E-03,NA,NA,NA,NA,NA,2.30E-03,NA,NA,NA,NA,NA,6.77E-02,NA,NA,NA,NA,NA,6.23E-02,NA,NA,NA,NA,NA,1.09E+00,NA,NA,NA,NA,NA,1.03E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-I77-both_sexes.tsv.bgz,icd10-I77-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I77-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I77-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I77-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-I77-both_sexes.tsv.bgz.tbi,39042d8e26a26e3761b5a9b2c74b98c4,542261790,93b91e1125f8a2f6b3c033d8a1c8c4be,1751086,EFO_0004264,vascular disease,Cardiovascular disease
