df_name,MK_Tau_opt,MK_p_value_opt,p_one,q_bh,prop_sig,_key_GBD,Cause Name,Cause ID,Cause Hierarchy Level,ICD10,ICD10 Used in Hospital/Claims Analyses,ICD9,ICD9 Used in Hospital/Claims Analyses,cause_level_1,cause_level_2,cause_level_3,cause_level_4,ICD10_explo
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,F01
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,F02
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,F02
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,F03
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,F06
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,G30
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,G31
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,G31
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,G32
Asbestosis,0.98333328962326,1.19209289550781e-07,5.96046447753905e-08,5.140900611877431e-07,0.9950980392156864,asbestosis,Asbestosis,512,4,"J61-J61.0, J92.0","J61-J61.0, J92.0-J92.0",501-501.9,501-501.9,Non-communicable diseases,Chronic respiratory diseases,Pneumoconiosis,Asbestosis,J61
Asbestosis,0.98333328962326,1.19209289550781e-07,5.96046447753905e-08,5.140900611877431e-07,0.9950980392156864,asbestosis,Asbestosis,512,4,"J61-J61.0, J92.0","J61-J61.0, J92.0-J92.0",501-501.9,501-501.9,Non-communicable diseases,Chronic respiratory diseases,Pneumoconiosis,Asbestosis,J92
Atrial fibrillation and flutter,0.94561493396759,4.76837158203125e-07,2.384185791015625e-07,9.67698938706342e-07,1.0,atrial fibrillation and flutter,Atrial fibrillation and flutter,500,3,I48-I48.92,I48-I48.92,427.3-427.32,427.3-427.32,Non-communicable diseases,Cardiovascular diseases,Atrial fibrillation and flutter,,I48
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,C75
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,D01
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,D12
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,D13
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,D13
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,D37
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,E34
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,K62
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-05,1.311302185058595e-05,2.9665524842309195e-05,1.0,benign and in situ intestinal neoplasms,Benign and in situ intestinal neoplasms,965,4,"C75.90-C75.92, D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, E34.0, K62.0-K62.3, K63.5","D01-D01.9, D12-D12.9, D13.3-D13.39, D13.9, D37.2-D37.5, D3A.010-D3A.029, E34.0, K62.0-K62.1, K63.5","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0, 610-610.9","209.4-209.57, 211.2-211.4, 230.3-230.7, 235.2, 236.0, 569.0",Non-communicable diseases,Neoplasms,Other neoplasms,Benign and in situ intestinal neoplasms,K63
Benign prostatic hyperplasia,0.858116269111633,0.00020670890808105,0.000103354454040525,0.0002144799196630444,1.0,benign prostatic hyperplasia,Benign prostatic hyperplasia,597,4,N40-N40.9,N40-N40.9,600-600.91,600-600.91,Non-communicable diseases,Other non-communicable diseases,Urinary diseases and male infertility,Benign prostatic hyperplasia,N40
Bladder cancer,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,bladder cancer,Bladder cancer,474,3,C67-C67.9,,"188-188.9, V10.51, V16.52, V76.3",,Non-communicable diseases,Neoplasms,Bladder cancer,,C67
Brain and central nervous system cancer,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,brain and central nervous system cancer,Brain and central nervous system cancer,477,3,"C70-C70.1, C70.9-C72.9",,191-191.9,,Non-communicable diseases,Neoplasms,Brain and central nervous system cancer,,C70
Brain and central nervous system cancer,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,brain and central nervous system cancer,Brain and central nervous system cancer,477,3,"C70-C70.1, C70.9-C72.9",,191-191.9,,Non-communicable diseases,Neoplasms,Brain and central nervous system cancer,,C70
Brain and central nervous system cancer,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,brain and central nervous system cancer,Brain and central nervous system cancer,477,3,"C70-C70.1, C70.9-C72.9",,191-191.9,,Non-communicable diseases,Neoplasms,Brain and central nervous system cancer,,C71
Brain and central nervous system cancer,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,brain and central nervous system cancer,Brain and central nervous system cancer,477,3,"C70-C70.1, C70.9-C72.9",,191-191.9,,Non-communicable diseases,Neoplasms,Brain and central nervous system cancer,,C72
Breast cancer,0.916666626930237,9.5367431640625e-07,4.76837158203125e-07,1.5856271766754518e-06,1.0,breast cancer,Breast cancer,429,3,"C50-C50.629, C50.8-C50.929",,"174-175.9, V10.3, V16.3",,Non-communicable diseases,Neoplasms,Breast cancer,,C50
Breast cancer,0.916666626930237,9.5367431640625e-07,4.76837158203125e-07,1.5856271766754518e-06,1.0,breast cancer,Breast cancer,429,3,"C50-C50.629, C50.8-C50.929",,"174-175.9, V10.3, V16.3",,Non-communicable diseases,Neoplasms,Breast cancer,,C50
Burkitt lymphoma,0.98333328962326,1.19209289550781e-07,5.96046447753905e-08,5.140900611877431e-07,1.0,burkitt lymphoma,Burkitt lymphoma,1006,4,C83.7-C83.80,,200.2-200.28,,Non-communicable diseases,Neoplasms,Non-Hodgkin lymphoma,Burkitt lymphoma,C83
Cardiomyopathy and myocarditis,0.933333277702332,5.96046447753906e-07,2.98023223876953e-07,1.1424223581949866e-06,1.0,cardiomyopathy and myocarditis,Cardiomyopathy and myocarditis,499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1",Non-communicable diseases,Cardiovascular diseases,Cardiomyopathy and myocarditis,,B33
Cardiomyopathy and myocarditis,0.933333277702332,5.96046447753906e-07,2.98023223876953e-07,1.1424223581949866e-06,1.0,cardiomyopathy and myocarditis,Cardiomyopathy and myocarditis,499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1",Non-communicable diseases,Cardiovascular diseases,Cardiomyopathy and myocarditis,,B33
Cardiomyopathy and myocarditis,0.933333277702332,5.96046447753906e-07,2.98023223876953e-07,1.1424223581949866e-06,1.0,cardiomyopathy and myocarditis,Cardiomyopathy and myocarditis,499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1",Non-communicable diseases,Cardiovascular diseases,Cardiomyopathy and myocarditis,,D86
Cardiomyopathy and myocarditis,0.933333277702332,5.96046447753906e-07,2.98023223876953e-07,1.1424223581949866e-06,1.0,cardiomyopathy and myocarditis,Cardiomyopathy and myocarditis,499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1",Non-communicable diseases,Cardiovascular diseases,Cardiomyopathy and myocarditis,,I40
Cardiomyopathy and myocarditis,0.933333277702332,5.96046447753906e-07,2.98023223876953e-07,1.1424223581949866e-06,1.0,cardiomyopathy and myocarditis,Cardiomyopathy and myocarditis,499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1",Non-communicable diseases,Cardiovascular diseases,Cardiomyopathy and myocarditis,,I41
Cardiomyopathy and myocarditis,0.933333277702332,5.96046447753906e-07,2.98023223876953e-07,1.1424223581949866e-06,1.0,cardiomyopathy and myocarditis,Cardiomyopathy and myocarditis,499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1",Non-communicable diseases,Cardiovascular diseases,Cardiomyopathy and myocarditis,,I42
Cardiomyopathy and myocarditis,0.933333277702332,5.96046447753906e-07,2.98023223876953e-07,1.1424223581949866e-06,1.0,cardiomyopathy and myocarditis,Cardiomyopathy and myocarditis,499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1",Non-communicable diseases,Cardiovascular diseases,Cardiomyopathy and myocarditis,,I43
Cardiomyopathy and myocarditis,0.933333277702332,5.96046447753906e-07,2.98023223876953e-07,1.1424223581949866e-06,1.0,cardiomyopathy and myocarditis,Cardiomyopathy and myocarditis,499,3,"B33.2-B33.20, B33.22-B33.24, D86.85, I40-I41.8, I42-I43.8, I51.4-I51.6","B33.2-B33.20, B33.22-B33.24, I40-I41.8, I51.4-I51.6","074.2, 074.23, 422-422.99, 425-425.5, 425.7-425.9, 429.0-429.1","074.2, 074.23, 422-422.99, 429.0-429.1",Non-communicable diseases,Cardiovascular diseases,Cardiomyopathy and myocarditis,,I51
Cardiovascular diseases,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,5.140900611877431e-07,1.0,cardiovascular diseases,Cardiovascular diseases,491,2,"B33.2-B33.24, D86.85, G45-G46.8, I00.0-I01.9, I02.0, I03-I11.9, I14-I27.0, I27.2-I83.93, I86-I89.0, I89.9-I95.1, I98, I98.4-ID5.9, K75.1, R00-R01.2, R07-R07.9","A32.82, B33.2-B33.24, B37.6, I01-I09.9, I20-I27.0, I33-I73.9","074.2, 074.21-074.23, 391-391.9, 392.0, 393-398.99, 402-402.91, 410-416.0, 417-417.9, 420-425.5, 425.7-440.29, 440.4-445.89, 447-454.9, 456, 456.3-457, 457.1, 457.8-458.1, 459-459.9, 785-785.3, V12.5-V12.59, V15.1, V17.1, V17.3-V17.49, V42.1-V42.2, V43.2-V43.5, V45.0-V45.09, V45.81-V45.82, V47.2, V58.61, V58.63, V58.66, V58.73, V81-V81.2","074.2-074.23, 112.81-115.94, 391-398.99, 410-416.0, 421-440.29, 440.4-443.9",Non-communicable diseases,Cardiovascular diseases,,,B33
Cardiovascular diseases,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,5.140900611877431e-07,1.0,cardiovascular diseases,Cardiovascular diseases,491,2,"B33.2-B33.24, D86.85, G45-G46.8, I00.0-I01.9, I02.0, I03-I11.9, I14-I27.0, I27.2-I83.93, I86-I89.0, I89.9-I95.1, I98, I98.4-ID5.9, K75.1, R00-R01.2, R07-R07.9","A32.82, B33.2-B33.24, B37.6, I01-I09.9, I20-I27.0, I33-I73.9","074.2, 074.21-074.23, 391-391.9, 392.0, 393-398.99, 402-402.91, 410-416.0, 417-417.9, 420-425.5, 425.7-440.29, 440.4-445.89, 447-454.9, 456, 456.3-457, 457.1, 457.8-458.1, 459-459.9, 785-785.3, V12.5-V12.59, V15.1, V17.1, V17.3-V17.49, V42.1-V42.2, V43.2-V43.5, V45.0-V45.09, V45.81-V45.82, V47.2, V58.61, V58.63, V58.66, V58.73, V81-V81.2","074.2-074.23, 112.81-115.94, 391-398.99, 410-416.0, 421-440.29, 440.4-443.9",Non-communicable diseases,Cardiovascular diseases,,,D86
