df_name,MK_Tau_opt,MK_p_value_opt,p_one,q_bh,prop_sig
Interstitial lung disease and pulmonary sarcoidosis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,0.9803921568627452
Intracerebral hemorrhage,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Ischemic heart disease,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Ischemic stroke,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Kidney cancer,0.999999940395355,8.34465026855469e-7,4.172325134277345e-7,1.6195209402787063e-6,1
Larynx cancer,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.3637751703676996e-5,1
Leukemia,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Lip and oral cavity cancer,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Liver cancer,0.999999940395355,8.34465026855469e-7,4.172325134277345e-7,1.6195209402787063e-6,1
Liver cancer due to alcohol use,0.923076987266541,1.47819519042969e-5,7.39097595214845e-6,2.076512291317898e-5,1
Liver cancer due to hepatitis B,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.3637751703676996e-5,1
Liver cancer due to hepatitis C,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,1.0820535513070913e-6,1
Liver cancer due to NASH,0.96190470457077,7.15255737304688e-7,3.57627868652344e-7,1.4859186091893168e-6,1
Liver cancer due to other causes,0.999999940395355,8.34465026855469e-7,4.172325134277345e-7,1.6195209402787063e-6,1
Low back pain,0.974359095096588,4.76837158203125e-6,2.384185791015625e-6,7.326404253641764e-6,1
Lower extremity peripheral arterial disease,0.943730354309082,5.36441802978516e-6,2.68220901489258e-6,8.157233601992898e-6,1
Lower respiratory infections,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Malignant neoplasm of bone and articular cartilage,0.904761850833893,3.33786010742188e-6,1.66893005371094e-6,5.410267756535465e-6,1
Malignant skin melanoma,0.966666579246521,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Mesothelioma,0.96190470457077,7.15255737304688e-7,3.57627868652344e-7,1.4859186091893168e-6,1
Motor neuron disease,1.00000011920929,2.62260437011719e-6,1.311302185058595e-6,4.298157162136506e-6,1
Multiple myeloma,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Musculoskeletal disorders,0.974359095096588,4.76837158203125e-6,2.384185791015625e-6,7.326404253641764e-6,1
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,5.9949600790429326e-5,1
Myocarditis,0.966666579246521,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Nasopharynx cancer,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.3637751703676996e-5,1
Neck pain,0.51515144109726,0.0236421823501587,0.01182109117507935,0.021932213186467975,1
Neoplasms,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Neuroblastoma and other peripheral nervous cell tumors,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,0.9754901960784312
Non-communicable diseases,0.73333328962326,8.96453857421875e-5,4.482269287109375e-5,1.0250150695327641e-4,0.9901960784313726
Non-Hodgkin lymphoma,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,1.0820535513070913e-6,1
Non-rheumatic calcific aortic valve disease,0.99999988079071,8.34465026855469e-6,4.172325134277345e-6,1.1949863248658415e-5,1
Non-rheumatic degenerative mitral valve disease,0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,5.9949600790429326e-5,1
Non-rheumatic valvular heart disease,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.3637751703676996e-5,1
Osteoarthritis,0.929669678211212,7.9500675201416e-4,3.9750337600708e-4,7.923209183924905e-4,1
Osteoarthritis hand,0.981980562210083,0.00118875503540039,5.94377517700195e-4,0.00116894245147705,1
Osteoarthritis hip,0.778249442577362,3.37362289428711e-5,1.686811447143555e-5,4.2170286178588874e-5,1
Osteoarthritis knee,0.929669678211212,7.9500675201416e-4,3.9750337600708e-4,7.923209183924905e-4,1
Osteoarthritis other,0.929669678211212,7.9500675201416e-4,3.9750337600708e-4,7.923209183924905e-4,1
Other benign and in situ neoplasms,0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,5.9949600790429326e-5,0.9705882352941176
Other eye cancers,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Other leukemia,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Other malignant neoplasms,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.647559119052581e-7,1
Other neoplasms,0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,5.9949600790429326e-5,0.965686274509804
Other non-Hodgkin lymphoma,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,1.0820535513070913e-6,1
Other pharynx cancer,0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,5.9949600790429326e-5,1
Other pneumoconiosis,0.966666579246521,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Other skin and subcutaneous diseases,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Ovarian cancer,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Pancreatic cancer,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Pancreatitis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Paralytic ileus and intestinal obstruction,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Parkinson's disease,0.916666626930237,9.5367431640625e-7,4.76837158203125e-7,1.8034225855118189e-6,1
Peptic ulcer disease,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Pneumoconiosis,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Prostate cancer,0.96190470457077,7.15255737304688e-7,3.57627868652344e-7,1.4859186091893168e-6,1
Pruritus,0.912087857723236,7.15255737304688e-6,3.57627868652344e-6,1.0765328699228722e-5,1
Psoriasis,0.944444417953491,5.8066844940185e-4,2.90334224700925e-4,5.947819186581451e-4,1
Pulmonary Arterial Hypertension,0.99999988079071,8.34465026855469e-6,4.172325134277345e-6,1.1949863248658415e-5,1
Rabies,0.787878692150116,4.7016143798828e-4,2.3508071899414e-4,5.025276239367486e-4,0.9509803921568628
Silicosis,0.96190470457077,7.15255737304688e-7,3.57627868652344e-7,1.4859186091893168e-6,1
Skin and subcutaneous diseases,0.933333277702332,5.96046447753906e-7,2.98023223876953e-7,1.3121918066224051e-6,1
Soft tissue and other extraosseous sarcomas,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Stomach cancer,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Stroke,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Subarachnoid hemorrhage,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Tetanus,0.883333265781403,2.26497650146484e-6,1.13248825073242e-6,3.930400399600752e-6,0.9950980392156864
Thyroid cancer,0.956043899059296,2.50339508056641e-6,1.251697540283205e-6,4.196031527085744e-6,1
Total burden related to hepatitis C,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Total cancers,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Total Cancers excluding Non-melanoma skin cancer,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,1.0820535513070913e-6,1
"Tracheal, bronchus, and lung cancer",0.999999940395355,8.34465026855469e-7,4.172325134277345e-7,1.6195209402787063e-6,1
Upper digestive system diseases,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.3637751703676996e-5,1
Urolithiasis,0.944444417953491,5.8066844940185e-4,2.90334224700925e-4,5.947819186581451e-4,1
Uterine cancer,0.956043899059296,2.50339508056641e-6,1.251697540283205e-6,4.196031527085744e-6,1
Varicella and herpes zoster,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Vascular intestinal disorders,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.647559119052581e-7,1
