df_name,MK_Tau_opt,MK_p_value_opt,p_one,q_bh,prop_sig
Ischemic stroke,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Kidney cancer,0.96190470457077,7.15255737304688e-7,3.57627868652344e-7,1.4111802384660062e-6,1
Larynx cancer,0.942857086658478,1.19209289550781e-6,5.96046447753905e-7,2.260331983690133e-6,1
Leukemia,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Lip and oral cavity cancer,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Liver cancer,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,9.805383816571302e-7,1
Liver cancer due to alcohol use,0.99999988079071,8.34465026855469e-6,4.172325134277345e-6,1.2960839778818985e-5,1
Liver cancer due to hepatitis B,0.99999988079071,8.34465026855469e-6,4.172325134277345e-6,1.2960839778818985e-5,1
Liver cancer due to hepatitis C,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.158385753631598e-7,1
Liver cancer due to NASH,0.96190470457077,7.15255737304688e-7,3.57627868652344e-7,1.4111802384660062e-6,1
Liver cancer due to other causes,0.999999940395355,8.34465026855469e-7,4.172325134277345e-7,1.6244252522786463e-6,1
Low back pain,0.974359095096588,4.76837158203125e-6,2.384185791015625e-6,7.822272482882724e-6,1
Lower extremity peripheral arterial disease,0.898249328136444,1.51395797729492e-5,7.5697898864746e-6,2.303027143382056e-5,1
Lower respiratory infections,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Malignant neoplasm of bone and articular cartilage,0.899999916553497,1.43051147460938e-6,7.1525573730469e-7,2.5470082352801157e-6,1
Malignant skin melanoma,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Mesothelioma,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,9.805383816571302e-7,1
Motor neuron disease,0.974359095096588,4.76837158203125e-6,2.384185791015625e-6,7.822272482882724e-6,1
Multiple myeloma,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,1
Musculoskeletal disorders,0.99999988079071,8.34465026855469e-6,4.172325134277345e-6,1.2960839778818985e-5,1
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.512846220523942e-5,1
Myocarditis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Nasopharynx cancer,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.512846220523942e-5,1
Neck pain,0.866666615009308,0.0241705179214478,0.0120852589607239,0.022334782383109993,1
Neoplasms,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,0.9852941176470588
Non-Hodgkin lymphoma,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,9.805383816571302e-7,1
Non-rheumatic calcific aortic valve disease,0.883333265781403,2.26497650146484e-6,1.13248825073242e-6,3.93674487159365e-6,1
Non-rheumatic degenerative mitral valve disease,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.512846220523942e-5,1
Non-rheumatic valvular heart disease,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.512846220523942e-5,1
Osteoarthritis,0.981980562210083,0.00118875503540039,5.94377517700195e-4,0.0012222410927356122,1
Osteoarthritis hand,0.981980562210083,0.00118875503540039,5.94377517700195e-4,0.0012222410927356122,1
Osteoarthritis hip,0.728039801120758,1.0621547698974e-4,5.310773849487e-5,1.2607690764635803e-4,1
Osteoarthritis knee,0.929669678211212,7.9500675201416e-4,3.9750337600708e-4,8.350430632666717e-4,1
Osteoarthritis other,0.986013293266296,3.6501884460449e-4,1.82509422302245e-4,4.099442408635042e-4,1
Other eye cancers,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Other leukemia,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Other malignant neoplasms,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,1
Other non-Hodgkin lymphoma,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,9.805383816571302e-7,1
Other pharynx cancer,0.833333253860474,8.34465026855469e-6,4.172325134277345e-6,1.2960839778818985e-5,1
Other pneumoconiosis,0.966666579246521,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,0.9901960784313726
Other skin and subcutaneous diseases,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Ovarian cancer,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,9.805383816571302e-7,1
Pancreatic cancer,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Pancreatitis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Paralytic ileus and intestinal obstruction,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Parkinson's disease,0.933333277702332,5.96046447753906e-7,2.98023223876953e-7,1.2086497412787538e-6,1
Pneumoconiosis,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Pruritus,0.974359095096588,4.76837158203125e-6,2.384185791015625e-6,7.822272482882724e-6,1
Psoriasis,1,8.30888748168945e-5,4.154443740844725e-5,1.0280487901073388e-4,1
Pulmonary Arterial Hypertension,0.99999988079071,8.34465026855469e-6,4.172325134277345e-6,1.2960839778818985e-5,1
Rabies,0.787878692150116,4.7016143798828e-4,2.3508071899414e-4,5.20027045047643e-4,0.965686274509804
Silicosis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,0.9950980392156864
Skin and subcutaneous diseases,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.158385753631598e-7,1
Soft tissue and other extraosseous sarcomas,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Stomach cancer,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Stroke,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Subarachnoid hemorrhage,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Tetanus,0.799999952316284,1.89542770385742e-5,9.4771385192871e-6,2.7130631839527773e-5,0.9950980392156864
Thyroid cancer,0.969696879386902,1.56164169311523e-5,7.80820846557615e-6,2.303027143382056e-5,1
Total burden related to hepatitis C,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Total cancers,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Total Cancers excluding Non-melanoma skin cancer,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,1
"Tracheal, bronchus, and lung cancer",0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,9.805383816571302e-7,1
Upper digestive system diseases,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.512846220523942e-5,1
Urolithiasis,0.944444417953491,5.8066844940185e-4,2.90334224700925e-4,6.23364658916692e-4,1
Uterine cancer,0.969696879386902,1.56164169311523e-5,7.80820846557615e-6,2.303027143382056e-5,1
Varicella and herpes zoster,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Vascular intestinal disorders,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.158385753631598e-7,1
