"exposure","trait_category","samplesize","cohorts_used","ancestry","sex","source_type","ieu_id","paper_link","ukb_overlap_confirmation","exposure_units","multiple_testing_correction","confirm","phenoscanner_exclusions","exposure_snps","exposure_group"
"MAPT (tau / total-tau plasma)","Drug-target — Neurology/psychiatry","953","ARIC African American substudy","AFR","both","ieugwasr","ebi-a-GCST90095139",,"no UKB overlap (ARIC AA only)","SD (log pg/mL plasma total tau, Simoa)","BH","yes","educat, school, smok",,"w62lovwtphiy"
"SNCA (alpha-synuclein)","Drug-target — Neurology/psychiatry","3301","INTERVAL","EUR","both","ieugwasr","prot-a-2789",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"renbae5lajf2"
"SNCA (alpha-synuclein)","Drug-target — Neurology/psychiatry","3301","INTERVAL","EUR","both","ieugwasr","prot-a-2790",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"qdwzh4ueha6q"
"LRRK2","Drug-target — Neurology/psychiatry","3301","INTERVAL","EUR","both","ieugwasr","prot-a-1791",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"nwe00mr987zb"
"NTRK2 / BDNF axis","Drug-target — Neurology/psychiatry","3301","INTERVAL","EUR","both","ieugwasr","prot-a-2122",,"no UKB overlap (INTERVAL only; aptamer = BDNF/NT-3 growth factors receptor = NTRK2)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"jiw7rj2kezks"
"NTRK2 / BDNF axis","Drug-target — Neurology/psychiatry","not specified in OpenGWAS","KORA F4 + QMDiab","EUR","both","ieugwasr","prot-c-2421_7_3",,"no UKB overlap (Suhre KORA/QMDiab; aptamer = BDNF)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"x3iq6uyj3mas"
"ADH1B, ADH1C, ALDH2 (alcohol metabolism)","Drug-target — Neurology/psychiatry","3301","INTERVAL","EUR","both","ieugwasr","prot-a-46",,"no UKB overlap (INTERVAL only; aptamer = Alcohol dehydrogenase 1B / ADH1B)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"0gl5tr4s845g"
"CYP2D6, CYP2C19, CYP3A4 (drug metabolism)","Drug-target — Neurology/psychiatry","3301","INTERVAL","EUR","both","ieugwasr","prot-a-756",,"no UKB overlap (INTERVAL only; aptamer = CYP3A4)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"mrypnfk47r8t"
"CYP2D6, CYP2C19, CYP3A4 (drug metabolism)","Drug-target — Neurology/psychiatry","3301","INTERVAL","EUR","both","ieugwasr","prot-a-757",,"no UKB overlap (INTERVAL only; aptamer = CYP3A4)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"hfrdek1w0ztb"
"CYP2D6, CYP2C19, CYP3A4 (drug metabolism)","Drug-target — Neurology/psychiatry","not specified in OpenGWAS","KORA F4 + QMDiab","EUR","both","ieugwasr","prot-c-2943_5_2",,"no UKB overlap (Suhre KORA/QMDiab; aptamer = CYP3A4)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"3s9io9r7qnxs"
"COMT","Drug-target — Neurology/psychiatry","1239","Hellenic isolated populations (MANOLIS + Pomak)","EUR","both","ieugwasr","ebi-a-GCST90010302",,"no UKB overlap (Gilly 2020 Helic isolates)","SD (Olink NPX)","BH","yes","educat, school, smok",,"g28k6hl75ib4"
"COMT","Drug-target — Neurology/psychiatry","10708","Fenland","EUR","both","ieugwasr","ebi-a-GCST90019408",,"no UKB overlap (Pietzner 2020 Fenland; recruited from Cambridgeshire GP registers; independent of UKB)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"622szwweyxve"
"RANKL / TNFSF11 (denosumab)","Drug-target — Bone/endocrine","3301","INTERVAL","EUR","both","ieugwasr","prot-a-3054",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"qe0ch9ngrjjj"
"RANKL / TNFSF11 (denosumab)","Drug-target — Bone/endocrine","not specified in OpenGWAS","KORA F4 + QMDiab","EUR","both","ieugwasr","prot-c-2917_3_2",,"no UKB overlap (Suhre KORA/QMDiab; aptamer = sRANKL)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"9zpec58ps1r0"
"RANKL / TNFSF11 (denosumab)","Drug-target — Bone/endocrine","982","Generation Scotland","EUR","both","ieugwasr","ebi-a-GCST90000503",,"no UKB overlap (Hillary 2020 Generation Scotland)","SD (rank-INT log2 Olink NPX)","BH","yes","educat, school, smok",,"g6t2bhhjqxdv"
"SOST (romosozumab)","Drug-target — Bone/endocrine","3301","INTERVAL","EUR","both","ieugwasr","prot-a-2803",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"8z0vu89qk693"
"SOST (romosozumab)","Drug-target — Bone/endocrine","1312","Hellenic isolated populations (MANOLIS + Pomak)","EUR","both","ieugwasr","ebi-a-GCST90010348",,"no UKB overlap (Gilly 2020 Helic isolates)","SD (Olink NPX)","BH","yes","educat, school, smok",,"ukiffr9wqh6n"
"ESR1, ESR2 (SERMs)","Drug-target — Bone/endocrine","3301","INTERVAL","EUR","both","ieugwasr","prot-a-991",,"no UKB overlap (INTERVAL only; aptamer labelled 'Estrogen receptor' — likely ESR1)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"5dxvg9f0r160"
"NR3C1 (glucocorticoid receptor)","Drug-target — Bone/endocrine","3301","INTERVAL","EUR","both","ieugwasr","prot-a-2088",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"7d13v0g65uan"
"NR3C1 (glucocorticoid receptor)","Drug-target — Bone/endocrine","not specified in OpenGWAS","KORA F4 + QMDiab","EUR","both","ieugwasr","prot-c-2857_70_2",,"no UKB overlap (Suhre KORA/QMDiab)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"q4dfdpapt660"
"NR3C2 (mineralocorticoid receptor — spironolactone)","Drug-target — Bone/endocrine","3301","INTERVAL","EUR","both","ieugwasr","prot-a-2089",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"8d6icbcnzmrc"
