exposure,exposure,trait_category,sample_size,cohorts_used,ancestry,sex,source_type,ieu_id,paper_link,ukb_overlap_confirmation,exposure_units,multiple_testing_correction,confirm,phenoscanner_exclusions,exposure_snps
IL6R (soluble IL-6R plasma pQTL),IL6R (soluble IL-6R plasma pQTL),Drug-target Inflammation/immunology,1000,KORA F4 + QMDiab (Suhre et al. 2017),EUR,both,ieugwasr,prot-c-4139_71_2,https://www.nature.com/articles/ncomms14357,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
IL6R (gene expression cis-eQTL),IL6R (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000160712,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
IL1B (plasma pQTL),IL1B (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1495,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
IL1B (gene expression cis-eQTL),IL1B (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000125538,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
IL1R1 (plasma pQTL),IL1R1 (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1496,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
IL1R1 (gene expression cis-eQTL),IL1R1 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000115594,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
TNF (plasma pQTL),TNF (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-3029,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
TNF (gene expression cis-eQTL),TNF (gene expression cis-eQTL),Drug-target Inflammation/immunology,14263,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000232810,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
IL17A (plasma pQTL),IL17A (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1480,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
IL17RA (plasma pQTL),IL17RA (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1486,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
IL17RA (gene expression cis-eQTL),IL17RA (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000177663,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
IL23A (gene expression cis-eQTL),IL23A (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000110944,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
IL4R (plasma pQTL),IL4R (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1533,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
IL4R (gene expression cis-eQTL),IL4R (gene expression cis-eQTL),Drug-target Inflammation/immunology,31470,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000077238,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
IL5 (plasma pQTL),IL5 (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1534,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
IL5RA (plasma pQTL),IL5RA (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1536,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
IL5RA (gene expression cis-eQTL),IL5RA (gene expression cis-eQTL),Drug-target Inflammation/immunology,26609,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000091181,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
IL13 (plasma pQTL),IL13 (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1475,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
TYK2 (gene expression cis-eQTL),TYK2 (gene expression cis-eQTL),Drug-target Inflammation/immunology,30935,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000105397,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
JAK1 (gene expression cis-eQTL),JAK1 (gene expression cis-eQTL),Drug-target Inflammation/immunology,26609,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000162434,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
JAK2 (gene expression cis-eQTL),JAK2 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000096968,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
JAK3 (gene expression cis-eQTL),JAK3 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000105639,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
STAT3 (gene expression cis-eQTL),STAT3 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31470,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000168610,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
TNFSF13B / BAFF (plasma pQTL),TNFSF13B / BAFF (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-3056,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
TNFSF13B / BAFF (gene expression cis-eQTL),TNFSF13B / BAFF (gene expression cis-eQTL),Drug-target Inflammation/immunology,31470,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000102524,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
MS4A1 / CD20 (gene expression cis-eQTL),MS4A1 / CD20 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000156738,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
CD19 (gene expression cis-eQTL),CD19 (gene expression cis-eQTL),Drug-target Inflammation/immunology,14263,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000177455,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
CD22 (plasma pQTL),CD22 (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-427,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
CD22 (gene expression cis-eQTL),CD22 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000012124,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
CD40 (gene expression cis-eQTL),CD40 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000101017,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
CD40LG (plasma pQTL),CD40LG (plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-447,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
CD40LG (gene expression cis-eQTL),CD40LG (gene expression cis-eQTL),Drug-target Inflammation/immunology,9188,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000102245,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
ITGA4 (gene expression cis-eQTL),ITGA4 (gene expression cis-eQTL),Drug-target Inflammation/immunology,26609,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000115232,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
CCR5 (gene expression cis-eQTL),CCR5 (gene expression cis-eQTL),Drug-target Inflammation/immunology,26395,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000160791,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
CCR2 (gene expression cis-eQTL),CCR2 (gene expression cis-eQTL),Drug-target Inflammation/immunology,30758,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000121807,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
CCL2 / MCP-1 (gene expression cis-eQTL),CCL2 / MCP-1 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000108691,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
NLRP3 (gene expression cis-eQTL),NLRP3 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000162711,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
PTGS2 / COX-2 (gene expression cis-eQTL),PTGS2 / COX-2 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31470,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000073756,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
PTGS1 / COX-1 (gene expression cis-eQTL),PTGS1 / COX-1 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000095303,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
ALOX5 (gene expression cis-eQTL),ALOX5 (gene expression cis-eQTL),Drug-target Inflammation/immunology,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000012779,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
CYSLTR1 (gene expression cis-eQTL),CYSLTR1 (gene expression cis-eQTL),Drug-target Inflammation/immunology,9188,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000173198,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
S1PR1 (gene expression cis-eQTL),S1PR1 (gene expression cis-eQTL),Drug-target Inflammation/immunology,26196,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000170989,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
